symbol,sector,industry
FFIV,Technology,Software Infrastructure
FFNW,Financial Services,Banks Regional
FFWM,Financial Services,Banks Regional
FGBI,Financial Services,Banks Regional
FGEN,Healthcare,Biotechnology
FHB,Financial Services,Banks Regional
FHI,Financial Services,Asset Management
FHN,Financial Services,Banks Regional
FHTX,Healthcare,Biotechnology
FI,Energy,Oil & Gas Equipment & Services
FIBK,Financial Services,Banks Regional
FICO,Technology,Software Application
FIII,Financial Services,Shell Companies
FINV,Financial Services,Credit Services
FIS,Technology,Information Technology Services
FISI,Financial Services,Banks Regional
FISV,Technology,Information Technology Services
FITB,Financial Services,Banks Regional
FIVE,Consumer Cyclical,Specialty Retail
FIVN,Technology,Software Infrastructure
FIX,Industrials,Engineering & Construction
FIXX,Healthcare,Biotechnology
FIZZ,Consumer Defensive,Beverages Non-Alcoholic
FL,Consumer Cyclical,Footwear & Accessories
FLDM,Healthcare,Diagnostics & Research
FLEX,Technology,Electronic Components
FLGT,Healthcare,Diagnostics & Research
FLIC,Financial Services,Banks Regional
FLIR,Technology,Scientific & Technical Instruments
FLL,Consumer Cyclical,Resorts & Casinos
FLMN,Energy,Oil & Gas E&P
FLNG,Energy,Oil & Gas Midstream
FLNT,Communication Services,Advertising Agencies
FLO,Consumer Defensive,Packaged Foods
FLOW,Industrials,Specialty Industrial Machinery
FLR,Industrials,Engineering & Construction
FLS,Industrials,Specialty Industrial Machinery
FLT,Technology,Information Technology Services
FLUX,Industrials,Electrical Equipment & Parts
FLWS,Consumer Cyclical,Specialty Retail
FLXN,Healthcare,Drug Manufacturers Specialty & Generic
FLXS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FMAC,Financial Services,Shell Companies
FMAO,Financial Services,Banks Regional
FMBH,Financial Services,Banks Regional
FMBI,Financial Services,Banks Regional
FMC,Basic Materials,Agricultural Inputs
FMNB,Financial Services,Banks Regional
FMS,Healthcare,Medical Care Facilities
FMTX,Healthcare,Biotechnology
FMX,Consumer Defensive,Beverages Brewers
FN,Technology,Electronic Components
FNB,Financial Services,Banks Regional
FNCB,Financial Services,Banks Regional
FND,Consumer Cyclical,Home Improvement Retail
FNF,Financial Services,Insurance Specialty
FNKO,Consumer Cyclical,Leisure
FNLC,Financial Services,Banks Regional
FNV,Basic Materials,Gold
FNWB,Financial Services,Banks Regional
FOCS,Financial Services,Capital Markets
FOE,Basic Materials,Specialty Chemicals
FOLD,Healthcare,Biotechnology
FONR,Healthcare,Medical Devices
FOR,Real Estate,Real Estate Development
FORM,Technology,Semiconductors
FORR,Industrials,Consulting Services
FORTY,Technology,Information Technology Services
FOSL,Consumer Cyclical,Luxury Goods
FOUR,Technology,Software Infrastructure
FOX,Communication Services,Broadcasting
FOXA,Communication Services,Broadcasting
FOXF,Consumer Cyclical,Recreational Vehicles
FPH,Real Estate,Real Estate Development
FPI,Real Estate,REIT Specialty
FPRX,Healthcare,Biotechnology
FR,Real Estate,REIT Industrial
FRAF,Financial Services,Banks Regional
FRBK,Financial Services,Banks Regional
FREE,Consumer Defensive,Packaged Foods
FREQ,Healthcare,Biotechnology
FRG,Consumer Cyclical,Personal Services
FRGI,Consumer Cyclical,Restaurants
FRHC,Financial Services,Capital Markets
FRLN,Healthcare,Biotechnology
FRME,Financial Services,Banks Regional
FRO,Energy,Oil & Gas Midstream
FROG,Technology,Software Application
FRPH,Real Estate,Real Estate Services
FRPT,Consumer Defensive,Packaged Foods
FRSX,Consumer Cyclical,Auto Parts
FRT,Real Estate,REIT Retail
FRTA,Industrials,Building Products & Equipment
FSBW,Financial Services,Banks Regional
FSDC,Financial Services,Shell Companies
FSFG,Financial Services,Banks Regional
FSLR,Technology,Solar
FSLY,Technology,Software Application
FSM,Basic Materials,Silver
FSP,Real Estate,REIT Office
FSR,Consumer Cyclical,Auto Manufacturers
FSRV,Financial Services,Shell Companies
FSS,Industrials,Pollution & Treatment Controls
FST,Financial Services,Shell Companies
FSTR,Industrials,Railroads
FSV,Real Estate,Real Estate Services
FTCH,Consumer Cyclical,Internet Retail
FTDR,Consumer Cyclical,Personal Services
FTEK,Industrials,Pollution & Treatment Controls
FTFT,Technology,Software Application
FTHM,Real Estate,Real Estate Services
FTI,Energy,Oil & Gas Equipment & Services
FTIV,Financial Services,Shell Companies
FTK,Energy,Oil & Gas Equipment & Services
FTNT,Technology,Software Infrastructure
FTOC,Financial Services,Shell Companies
FTS,Utilities,Utilities Regulated Electric
FTSI,Energy,Oil & Gas Equipment & Services
FTV,Technology,Scientific & Technical Instruments
FUBO,Communication Services,Broadcasting
FUL,Basic Materials,Specialty Chemicals
FULC,Healthcare,Biotechnology
FULT,Financial Services,Banks Regional
FUN,Consumer Cyclical,Leisure
FUNC,Financial Services,Banks Regional
FUND,Financial Services,Asset Management
FURY,Basic Materials,Other Industrial Metals & Mining
FUSE,Financial Services,Shell Companies
FUSN,Healthcare,Biotechnology
FUTU,Financial Services,Capital Markets
FUV,Consumer Cyclical,Recreational Vehicles
FVAM,Financial Services,Shell Companies
FVCB,Financial Services,Banks Regional
FVE,Healthcare,Medical Care Facilities
FVRR,Communication Services,Internet Content & Information
FWONA,Communication Services,Broadcasting
FWONK,Communication Services,Broadcasting
FWRD,Industrials,Integrated Freight & Logistics
G,Technology,Information Technology Services
GABC,Financial Services,Banks Regional
GAIA,Communication Services,Internet Content & Information
GALT,Healthcare,Biotechnology
GAN,Consumer Cyclical,Gambling
GASS,Industrials,Marine Shipping
GATO,Basic Materials,Other Precious Metals & Mining
GATX,Industrials,Rental & Leasing Services
GAU,Basic Materials,Gold
GB,Technology,Information Technology Services
GBCI,Financial Services,Banks Regional
GBIO,Healthcare,Biotechnology
GBL,Financial Services,Capital Markets
GBLI,Financial Services,Insurance Property & Casualty
GBT,Healthcare,Biotechnology
GBX,Industrials,Railroads
GCBC,Financial Services,Banks Regional
GCI,Communication Services,Publishing
GCMG,Financial Services,Asset Management
GCO,Consumer Cyclical,Apparel Retail
GCP,Basic Materials,Specialty Chemicals
GD,Industrials,Aerospace & Defense
GDDY,Technology,Software Infrastructure
GDEN,Consumer Cyclical,Resorts & Casinos
GDOT,Financial Services,Credit Services
GDP,Energy,Oil & Gas E&P
GDRX,Healthcare,Health Information Services
GDS,Technology,Information Technology Services
GDYN,Technology,Information Technology Services
GE,Industrials,Specialty Industrial Machinery
GEL,Energy,Oil & Gas Midstream
GEN,Healthcare,Medical Care Facilities
GENC,Industrials,Farm & Heavy Construction Machinery
GEO,Real Estate,REIT Healthcare Facilities
GEOS,Energy,Oil & Gas Equipment & Services
GERN,Healthcare,Biotechnology
GES,Consumer Cyclical,Apparel Retail
GEVO,Basic Materials,Specialty Chemicals
GFF,Industrials,Tools & Accessories
GFI,Basic Materials,Gold
GFL,Industrials,Waste Management
GFN,Industrials,Rental & Leasing Services
GGAL,Financial Services,Banks Regional
GGB,Basic Materials,Steel
GGG,Industrials,Specialty Industrial Machinery
GH,Healthcare,Diagnostics & Research
GHC,Consumer Defensive,Education & Training Services
GHG,Consumer Cyclical,Lodging
GHIV,Financial Services,Shell Companies
GHL,Financial Services,Capital Markets
GHLD,Financial Services,Mortgage Finance
GHM,Industrials,Specialty Industrial Machinery
GIB,Technology,Information Technology Services
GIII,Consumer Cyclical,Apparel Retail
GIK,Financial Services,Shell Companies
GIL,Consumer Cyclical,Apparel Manufacturing
GILD,Healthcare,Drug Manufacturers General
GILT,Technology,Communication Equipment
GIS,Consumer Defensive,Packaged Foods
GIX,Financial Services,Shell Companies
GKOS,Healthcare,Medical Instruments & Supplies
GL,Financial Services,Insurance Life
GLAD,Financial Services,Asset Management
GLDD,Industrials,Engineering & Construction
GLDG,Basic Materials,Gold
GLEO,Financial Services,Shell Companies
GLG,Technology,Information Technology Services
GLNG,Energy,Oil & Gas Midstream
GLOB,Technology,Software Application
GLOG,Energy,Oil & Gas Midstream
GLOP,Energy,Oil & Gas Midstream
GLP,Energy,Oil & Gas Midstream
GLPG,Healthcare,Biotechnology
GLPI,Real Estate,REIT Specialty
GLRE,Financial Services,Insurance Reinsurance
GLSI,Healthcare,Biotechnology
GLT,Basic Materials,Paper & Paper Products
GLTO,Healthcare,Biotechnology
GLUU,Communication Services,Electronic Gaming & Multimedia
GLW,Technology,Electronic Components
GLYC,Healthcare,Biotechnology
GM,Consumer Cyclical,Auto Manufacturers
GMAB,Healthcare,Biotechnology
GMDA,Healthcare,Biotechnology
GME,Consumer Cyclical,Specialty Retail
GMED,Healthcare,Medical Devices
GMLP,Energy,Oil & Gas Midstream
GMRE,Real Estate,REIT Healthcare Facilities
GMS,Industrials,Building Products & Equipment
GNCA,Healthcare,Biotechnology
GNE,Utilities,Utilities Regulated Electric
GNFT,Healthcare,Biotechnology
GNK,Industrials,Marine Shipping
GNL,Real Estate,REIT Office
GNLN,Healthcare,Pharmaceutical Retailers
GNMK,Healthcare,Medical Devices
GNOG,Consumer Cyclical,Gambling
GNPX,Healthcare,Biotechnology
GNRC,Industrials,Specialty Industrial Machinery
GNRS,Financial Services,Shell Companies
GNSS,Technology,Scientific & Technical Instruments
GNTX,Consumer Cyclical,Auto Parts
GNTY,Financial Services,Banks Regional
GNUS,Communication Services,Entertainment
GNW,Financial Services,Insurance Life
GO,Consumer Defensive,Grocery Stores
GOAC,Financial Services,Shell Companies
GOCO,Financial Services,Insurance Brokers
GOEV,Consumer Cyclical,Auto Manufacturers
GOGL,Industrials,Marine Shipping
GOGO,Communication Services,Telecom Services
GOL,Industrials,Airlines
GOLD,Basic Materials,Gold
GOLF,Consumer Cyclical,Leisure
GOOD,Real Estate,REIT Diversified
GOOG,Communication Services,Internet Content & Information
GOOGL,Communication Services,Internet Content & Information
GOOS,Consumer Cyclical,Apparel Manufacturing
GORO,Basic Materials,Gold
GOSS,Healthcare,Biotechnology
GP,Consumer Cyclical,Auto Manufacturers
GPC,Consumer Cyclical,Specialty Retail
GPI,Consumer Cyclical,Auto & Truck Dealerships
GPK,Consumer Cyclical,Packaging & Containers
GPL,Basic Materials,Other Industrial Metals & Mining
GPMT,Real Estate,REIT Mortgage
GPN,Industrials,Specialty Business Services
GPP,Energy,Oil & Gas Midstream
GPRE,Basic Materials,Specialty Chemicals
GPRK,Energy,Oil & Gas E&P
GPRO,Technology,Consumer Electronics
GPS,Consumer Cyclical,Apparel Retail
GPX,Consumer Defensive,Education & Training Services
GRA,Basic Materials,Specialty Chemicals
GRAY,Healthcare,Biotechnology
GRBK,Consumer Cyclical,Residential Construction
GRC,Industrials,Specialty Industrial Machinery
GRFS,Healthcare,Drug Manufacturers General
GRMN,Technology,Scientific & Technical Instruments
GRNQ,Industrials,Consulting Services
GRPN,Communication Services,Internet Content & Information
GRSV,Financial Services,Shell Companies
GRTS,Healthcare,Biotechnology
GRTX,Healthcare,Biotechnology
GRUB,Communication Services,Internet Content & Information
GRVY,Communication Services,Electronic Gaming & Multimedia
GRWG,Consumer Cyclical,Home Improvement Retail
GS,Financial Services,Capital Markets
GSAH,Financial Services,Shell Companies
GSAT,Communication Services,Telecom Services
GSBC,Financial Services,Banks Regional
GSHD,Financial Services,Insurance Diversified
GSIT,Technology,Semiconductors
GSK,Healthcare,Drug Manufacturers General
GSKY,Technology,Software Infrastructure
GSL,Industrials,Marine Shipping
GSM,Basic Materials,Other Industrial Metals & Mining
GSMG,Communication Services,Broadcasting
GSS,Basic Materials,Gold
GSV,Basic Materials,Gold
GSX,Consumer Defensive,Education & Training Services
GT,Consumer Cyclical,Auto Parts
GTE,Energy,Oil & Gas E&P
GTES,Industrials,Specialty Industrial Machinery
GTH,Healthcare,Diagnostics & Research
GTHX,Healthcare,Biotechnology
GTLS,Industrials,Specialty Industrial Machinery
GTN,Communication Services,Broadcasting
GTS,Healthcare,Healthcare Plans
GTT,Communication Services,Telecom Services
GTY,Real Estate,REIT Retail
GTYH,Technology,Software Application
GVA,Industrials,Engineering & Construction
GWAC,Financial Services,Shell Companies
GWB,Financial Services,Banks Regional
GWGH,Financial Services,Insurance Life
GWPH,Healthcare,Drug Manufacturers General
GWRE,Technology,Software Application
GWRS,Utilities,Utilities Regulated Water
GWW,Industrials,Industrial Distribution
GXGX,Financial Services,Shell Companies
H,Consumer Cyclical,Lodging
HA,Industrials,Airlines
HAE,Healthcare,Medical Instruments & Supplies
HAFC,Financial Services,Banks Regional
HAIN,Consumer Defensive,Packaged Foods
HAL,Energy,Oil & Gas Equipment & Services
HALO,Healthcare,Biotechnology
HARP,Healthcare,Biotechnology
HAS,Consumer Cyclical,Leisure
HASI,Real Estate,REIT Specialty
HAYN,Industrials,Metal Fabrication
HBAN,Financial Services,Banks Regional
HBB,Technology,Consumer Electronics
HBCP,Financial Services,Banks Regional
HBI,Consumer Cyclical,Apparel Manufacturing
HBIO,Healthcare,Medical Instruments & Supplies
HBM,Basic Materials,Copper
HBMD,Financial Services,Banks Regional
HBNC,Financial Services,Banks Regional
HBT,Financial Services,Banks Regional
HCA,Healthcare,Medical Care Facilities
HCAT,Healthcare,Health Information Services
HCC,Basic Materials,Coking Coal
HCCI,Industrials,Waste Management
HCHC,Communication Services,Telecom Services
HCI,Financial Services,Insurance Property & Casualty
HCKT,Technology,Information Technology Services
HCM,Healthcare,Biotechnology
HCSG,Healthcare,Medical Care Facilities
HD,Consumer Cyclical,Home Improvement Retail
HDB,Financial Services,Banks Regional
HE,Utilities,Utilities Regulated Electric
HEAR,Technology,Consumer Electronics
HEC,Financial Services,Shell Companies
HEI,Industrials,Aerospace & Defense
HELE,Consumer Defensive,Household & Personal Products
HEP,Energy,Oil & Gas Midstream
HES,Energy,Oil & Gas E&P
HESM,Energy,Oil & Gas Midstream
HEXO,Healthcare,Drug Manufacturers Specialty & Generic
HFC,Energy,Oil & Gas Refining & Marketing
HFFG,Consumer Defensive,Food Distribution
HFWA,Financial Services,Banks Regional
HGBL,Financial Services,Capital Markets
HGEN,Healthcare,Biotechnology
HGV,Consumer Cyclical,Resorts & Casinos
HHC,Real Estate,Real Estate Diversified
HHR,Industrials,Staffing & Employment Services
HI,Industrials,Specialty Industrial Machinery
HIBB,Consumer Cyclical,Specialty Retail
HIG,Financial Services,Insurance Diversified
HII,Industrials,Aerospace & Defense
HIL,Industrials,Engineering & Construction
HIMX,Technology,Semiconductors
HIW,Real Estate,REIT Office
HKIB,Financial Services,Capital Markets
HL,Basic Materials,Gold
HLF,Consumer Defensive,Packaged Foods
HLG,Consumer Defensive,Education & Training Services
HLI,Financial Services,Capital Markets
HLIO,Industrials,Specialty Industrial Machinery
HLIT,Technology,Communication Equipment
HLNE,Financial Services,Asset Management
HLT,Consumer Cyclical,Lodging
HLX,Energy,Oil & Gas Equipment & Services
HLXA,Financial Services,Shell Companies
HMC,Consumer Cyclical,Auto Manufacturers
HMHC,Consumer Defensive,Education & Training Services
HMI,Technology,Scientific & Technical Instruments
HMLP,Energy,Oil & Gas Midstream
HMN,Financial Services,Insurance Property & Casualty
HMST,Financial Services,Banks Regional
HMSY,Healthcare,Health Information Services
HMTV,Communication Services,Entertainment
HMY,Basic Materials,Gold
HNGR,Healthcare,Medical Care Facilities
HNI,Industrials,Business Equipment & Supplies
HNP,Utilities,Utilities Independent Power Producers
HOFT,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
HOFV,Communication Services,Entertainment
HOG,Consumer Cyclical,Recreational Vehicles
HOL,Financial Services,Shell Companies
HOLI,Industrials,Electrical Equipment & Parts
HOLX,Healthcare,Medical Instruments & Supplies
HOMB,Financial Services,Banks Regional
HOME,Consumer Cyclical,Specialty Retail
HON,Industrials,Specialty Industrial Machinery
HONE,Financial Services,Banks Regional
HOOK,Healthcare,Biotechnology
HOPE,Financial Services,Banks Regional
HOV,Consumer Cyclical,Residential Construction
HP,Energy,Oil & Gas Drilling
HPE,Technology,Communication Equipment
HPK,Energy,Oil & Gas E&P
HPP,Real Estate,REIT Office
HPQ,Technology,Computer Hardware
HPX,Financial Services,Shell Companies
HQI,Industrials,Staffing & Employment Services
HQY,Healthcare,Health Information Services
HR,Real Estate,REIT Healthcare Facilities
HRB,Consumer Cyclical,Personal Services
HRC,Healthcare,Medical Instruments & Supplies
HRL,Consumer Defensive,Packaged Foods
HRMY,Healthcare,Biotechnology
HROW,Healthcare,Drug Manufacturers Specialty & Generic
HRTG,Financial Services,Insurance Property & Casualty
HRTX,Healthcare,Biotechnology
HSAQ,Financial Services,Shell Companies
HSBC,Financial Services,Banks Diversified
HSC,Industrials,Specialty Industrial Machinery
HSIC,Healthcare,Medical Distribution
HSII,Industrials,Staffing & Employment Services
HSKA,Healthcare,Diagnostics & Research
HST,Real Estate,REIT Hotel & Motel
HSTM,Healthcare,Health Information Services
HSY,Consumer Defensive,Confectioners
HT,Real Estate,REIT Hotel & Motel
HTA,Real Estate,REIT Healthcare Facilities
HTBI,Financial Services,Banks Regional
HTBK,Financial Services,Banks Regional
HTBX,Healthcare,Biotechnology
HTH,Financial Services,Banks Regional
HTHT,Consumer Cyclical,Lodging
HTLD,Industrials,Trucking
HTLF,Financial Services,Banks Regional
HTOO,Utilities,Utilities—Renewable
HUBB,Industrials,Electrical Equipment & Parts
HUBG,Industrials,Integrated Freight & Logistics
HUBS,Technology,Software Application
HUIZ,Financial Services,Insurance Brokers
HUM,Healthcare,Healthcare Plans
HUN,Basic Materials,Chemicals
HURC,Industrials,Specialty Industrial Machinery
HURN,Industrials,Consulting Services
HUYA,Communication Services,Entertainment
HVT,Consumer Cyclical,Home Improvement Retail
HWBK,Financial Services,Banks Regional
HWC,Financial Services,Banks Regional
HWKN,Basic Materials,Specialty Chemicals
HWM,Industrials,Specialty Industrial Machinery
HXL,Industrials,Aerospace & Defense
HY,Industrials,Farm & Heavy Construction Machinery
HYFM,Industrials,Farm & Heavy Construction Machinery
HYLN,Consumer Cyclical,Auto Parts
HYMC,Basic Materials,Other Precious Metals & Mining
HYRE,Industrials,Rental & Leasing Services
HZAC,Financial Services,Shell Companies
HZN,Consumer Cyclical,Auto Parts
HZNP,Healthcare,Drug Manufacturers General
HZO,Consumer Cyclical,Specialty Retail
HZON,Financial Services,Shell Companies
IAA,Industrials,Specialty Business Services
IAC,Communication Services,Internet Content & Information
IACA,Financial Services,Shell Companies
IAG,Basic Materials,Gold
IART,Healthcare,Medical Devices
IBA,Consumer Defensive,Farm Products
IBCP,Financial Services,Banks Regional
IBEX,Technology,Software Application
IBIO,Healthcare,Biotechnology
IBKR,Financial Services,Capital Markets
IBM,Technology,Information Technology Services
IBN,Financial Services,Banks Regional
IBOC,Financial Services,Banks Regional
IBP,Industrials,Building Products & Equipment
IBTX,Financial Services,Banks Regional
ICAD,Healthcare,Health Information Services
ICBK,Financial Services,Banks Regional
ICE,Financial Services,Financial Data & Stock Exchanges
ICFI,Industrials,Consulting Services
ICHR,Technology,Semiconductor Equipment & Materials
ICL,Basic Materials,Agricultural Inputs
ICLK,Communication Services,Advertising Agencies
ICLR,Healthcare,Diagnostics & Research
ICPT,Healthcare,Biotechnology
ICUI,Healthcare,Medical Instruments & Supplies
IDA,Utilities,Utilities Regulated Electric
IDCC,Communication Services,Telecom Services
IDEX,Technology,Software Application
IDN,Technology,Software Application
IDRA,Healthcare,Biotechnology
IDT,Communication Services,Telecom Services
IDXX,Healthcare,Diagnostics & Research
IDYA,Healthcare,Biotechnology
IEA,Industrials,Engineering & Construction
IEC,Technology,Electronic Components
IEP,Industrials,Conglomerates
IESC,Industrials,Engineering & Construction
IEX,Industrials,Specialty Industrial Machinery
IFF,Basic Materials,Specialty Chemicals
IFS,Financial Services,Banks Regional
IGAC,Financial Services,Shell Companies
IGIC,Financial Services,Insurance Diversified
IGMS,Healthcare,Biotechnology
IGT,Consumer Cyclical,Gambling
IH,Consumer Defensive,Education & Training Services
IHC,Financial Services,Insurance Life
IHG,Consumer Cyclical,Lodging
IHRT,Communication Services,Broadcasting
III,Technology,Information Technology Services
IIIN,Industrials,Metal Fabrication
IIIV,Technology,Information Technology Services
IIN,Healthcare,Medical Instruments & Supplies
IIPR,Real Estate,REIT Industrial
IIVI,Technology,Scientific & Technical Instruments
ILMN,Healthcare,Diagnostics & Research
ILPT,Real Estate,REIT Industrial
IMAB,Healthcare,Biotechnology
IMAX,Communication Services,Entertainment
IMGN,Healthcare,Biotechnology
IMKTA,Consumer Defensive,Grocery Stores
IMMP,Healthcare,Biotechnology
IMMR,Technology,Software Application
IMNM,Healthcare,Biotechnology
IMO,Energy,Oil & Gas Integrated
IMOS,Technology,Semiconductors
IMPX,Financial Services,Shell Companies
IMRA,Healthcare,Biotechnology
IMTX,Healthcare,Biotechnology
IMUX,Healthcare,Biotechnology
IMV,Healthcare,Biotechnology
IMVT,Healthcare,Biotechnology
IMXI,Technology,Information Technology Services
INAQ,Financial Services,Shell Companies
INBK,Financial Services,Banks Regional
INBX,Healthcare,Biotechnology
INCY,Healthcare,Biotechnology
INDB,Financial Services,Banks Regional
INDT,Real Estate,Real Estate Development
INFI,Healthcare,Biotechnology
INFN,Technology,Communication Equipment
INFO,Industrials,Consulting Services
INFU,Healthcare,Medical Instruments & Supplies
INFY,Technology,Information Technology Services
ING,Financial Services,Banks Diversified
INGN,Healthcare,Medical Devices
INGR,Consumer Defensive,Packaged Foods
INMB,Healthcare,Biotechnology
INMD,Healthcare,Medical Devices
INN,Real Estate,REIT Hotel & Motel
INO,Healthcare,Biotechnology
INOD,Technology,Information Technology Services
INOV,Healthcare,Health Information Services
INS,Technology,Software Application
INSE,Communication Services,Electronic Gaming & Multimedia
INSG,Technology,Communication Equipment
INSM,Healthcare,Biotechnology
INSP,Healthcare,Medical Devices
INSW,Industrials,Marine Shipping
INT,Energy,Oil & Gas Refining & Marketing
INTC,Technology,Semiconductors
INTU,Technology,Software Application
INTZ,Technology,Software Application
INVA,Healthcare,Biotechnology
INVE,Technology,Computer Hardware
INVH,Real Estate,REIT Residential
INZY,Healthcare,Biotechnology
IONS,Healthcare,Biotechnology
IOSP,Basic Materials,Specialty Chemicals
IOVA,Healthcare,Biotechnology
IP,Consumer Cyclical,Packaging & Containers
IPA,Healthcare,Biotechnology
IPAR,Consumer Defensive,Household & Personal Products
IPG,Communication Services,Advertising Agencies
IPGP,Technology,Semiconductor Equipment & Materials
IPHA,Healthcare,Biotechnology
IPHI,Technology,Semiconductors
IPI,Basic Materials,Agricultural Inputs
IPOD,Financial Services,Shell Companies
IPOE,Financial Services,Shell Companies
IPOF,Financial Services,Shell Companies
IPV,Financial Services,Shell Companies
IQ,Communication Services,Internet Content & Information
IQV,Healthcare,Diagnostics & Research
IR,Industrials,Specialty Industrial Machinery
IRBT,Technology,Consumer Electronics
IRCP,Real Estate,Real Estate Services
IRDM,Communication Services,Telecom Services
IRM,Real Estate,REIT Specialty
IRMD,Healthcare,Medical Devices
IRS,Real Estate,Real Estate Development
IRT,Real Estate,REIT Residential
IRTC,Healthcare,Medical Instruments & Supplies
IRWD,Healthcare,Drug Manufacturers Specialty & Generic
ISBC,Financial Services,Banks Regional
ISEE,Healthcare,Biotechnology
ISR,Healthcare,Medical Instruments & Supplies
ISRG,Healthcare,Medical Instruments & Supplies
ISSC,Industrials,Aerospace & Defense
ISTR,Financial Services,Banks Regional
IT,Technology,Information Technology Services
ITCB,Financial Services,Banks Regional
ITCI,Healthcare,Biotechnology
ITGR,Healthcare,Medical Devices
ITI,Technology,Communication Equipment
ITIC,Financial Services,Insurance Specialty
ITMR,Healthcare,Medical Devices
ITOS,Healthcare,Biotechnology
ITRG,Basic Materials,Other Precious Metals & Mining
ITRI,Technology,Scientific & Technical Instruments
ITRN,Technology,Communication Equipment
ITT,Industrials,Specialty Industrial Machinery
ITUB,Financial Services,Banks Regional
ITW,Industrials,Specialty Industrial Machinery
IVA,Healthcare,Biotechnology
IVAC,Industrials,Aerospace & Defense
IVC,Healthcare,Medical Devices
IVR,Real Estate,REIT Mortgage
IVZ,Financial Services,Asset Management
IX,Financial Services,Credit Services
IZEA,Communication Services,Internet Content & Information
J,Industrials,Engineering & Construction
JACK,Consumer Cyclical,Restaurants
JAGX,Healthcare,Biotechnology
JAMF,Technology,Software Application
JAX,Consumer Cyclical,Restaurants
JAZZ,Healthcare,Biotechnology
JBGS,Real Estate,REIT Office
JBHT,Industrials,Integrated Freight & Logistics
JBL,Technology,Electronic Components
JBLU,Industrials,Airlines
JBSS,Consumer Defensive,Packaged Foods
JBT,Industrials,Specialty Industrial Machinery
JCI,Industrials,Engineering & Construction
JCOM,Technology,Software Infrastructure
JD,Consumer Cyclical,Internet Retail
JE,Utilities,Utilities Diversified
JEF,Financial Services,Financial Conglomerates
JELD,Industrials,Building Products & Equipment
JFIN,Communication Services,Internet Content & Information
JFU,Technology,Software Application
JG,Technology,Software Application
JHG,Financial Services,Asset Management
JHX,Basic Materials,Building Materials
JIH,Financial Services,Shell Companies
JJSF,Consumer Defensive,Packaged Foods
JKHY,Technology,Information Technology Services
JKS,Technology,Solar
JLL,Real Estate,Real Estate Services
JMIA,Consumer Cyclical,Internet Retail
JNCE,Healthcare,Biotechnology
JNJ,Healthcare,Drug Manufacturers General
JNPR,Technology,Communication Equipment
JOBS,Industrials,Staffing & Employment Services
JOE,Real Estate,Real Estate Diversified
JOUT,Consumer Cyclical,Leisure
JPM,Financial Services,Banks Diversified
JRVR,Financial Services,Insurance Specialty
JWN,Consumer Cyclical,Department Stores
JWS,Financial Services,Shell Companies
JYAC,Financial Services,Shell Companies
JYNT,Healthcare,Medical Care Facilities
K,Consumer Defensive,Packaged Foods
KAI,Industrials,Specialty Industrial Machinery
KALA,Healthcare,Biotechnology
KALU,Basic Materials,Aluminum
KALV,Healthcare,Biotechnology
KAMN,Industrials,Aerospace & Defense
KAR,Consumer Cyclical,Specialty Retail
KB,Financial Services,Banks Regional
KBAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
KBH,Consumer Cyclical,Residential Construction
KBR,Industrials,Engineering & Construction
KC,Technology,Software Application
KDMN,Healthcare,Biotechnology
KDNY,Healthcare,Biotechnology
KDP,Consumer Defensive,Beverages Non-Alcoholic
KE,Industrials,Electrical Equipment & Parts
KELYA,Industrials,Staffing & Employment Services
KELYB,Industrials,Staffing & Employment Services
KEN,Utilities,Utilities Regulated Electric
KEP,Utilities,Utilities Regulated Electric
KEX,Industrials,Marine Shipping
KEY,Financial Services,Banks Regional
KEYS,Technology,Scientific & Technical Instruments
KFRC,Industrials,Staffing & Employment Services
KFS,Consumer Cyclical,Auto & Truck Dealerships
KFY,Industrials,Staffing & Employment Services
KGC,Basic Materials,Gold
KHC,Consumer Defensive,Packaged Foods
KIDS,Healthcare,Medical Devices
KIM,Real Estate,REIT Retail
KIN,Healthcare,Drug Manufacturers Specialty & Generic
KIRK,Consumer Cyclical,Specialty Retail
KKR,Financial Services,Asset Management
KL,Basic Materials,Gold
KLAC,Technology,Semiconductor Equipment & Materials
KLDO,Healthcare,Biotechnology
KLIC,Technology,Semiconductor Equipment & Materials
KLR,Communication Services,Telecom Services
KMB,Consumer Defensive,Household & Personal Products
KMDA,Healthcare,Drug Manufacturers Specialty & Generic
KMI,Energy,Oil & Gas Midstream
KMPR,Financial Services,Insurance Property & Casualty
KMT,Industrials,Tools & Accessories
KMX,Consumer Cyclical,Auto & Truck Dealerships
KN,Technology,Communication Equipment
KNDI,Consumer Cyclical,Auto Parts
KNL,Industrials,Business Equipment & Supplies
KNOP,Industrials,Marine Shipping
KNSA,Healthcare,Biotechnology
KNSL,Financial Services,Insurance Property & Casualty
KNTE,Healthcare,Biotechnology
KNX,Industrials,Trucking
KO,Consumer Defensive,Beverages Non-Alcoholic
KOD,Healthcare,Biotechnology
KODK,Industrials,Specialty Business Services
KOF,Consumer Defensive,Beverages Non-Alcoholic
KOP,Basic Materials,Specialty Chemicals
KOPN,Technology,Electronic Components
KOR,Basic Materials,Gold
